y,u[0],u[10000],u[80000],u[160000],u[320000],u[640000],y+,u+,tau_v[40000],tau_t[40000],tau_v[640000],tau_t[640000]
0,0,0,0,0,0,0,0,0,0,0,0,0
0.000100175,0.00300524,0.041271,0.0845822,0.120611,0.156003,0.109874,0.787146,0,0.00684223,0.000207686,0.0205599,0.00187525
0.00024666,0.00739973,0.0555897,0.11918,0.169138,0.226738,0.199293,1.93818,0,0.00220664,0.000130964,0.00889624,0.00212867
0.000417846,0.0125351,0.0602396,0.131745,0.186408,0.256167,0.267776,3.28332,0,0.00079216,4.84343e-05,0.00429014,0.00142061
0.000607347,0.0182195,0.0630176,0.137114,0.193199,0.268792,0.320704,4.77236,0,0.000395493,2.55063e-05,0.00223465,0.000814314
0.000811746,0.0243502,0.0658352,0.140632,0.197114,0.275057,0.362692,6.37847,0,0.000302523,2.66596e-05,0.00124325,0.000450248
0.00102886,0.0308614,0.069022,0.143913,0.200527,0.279308,0.396844,8.08448,0,0.000291415,3.97406e-05,0.000752896,0.000265264
0.00125715,0.0377065,0.0726335,0.14736,0.20403,0.283117,0.42522,9.87832,0,0.000300169,6.29509e-05,0.000515561,0.000185708
0.00149546,0.0448505,0.0766879,0.151063,0.207744,0.286958,0.449221,11.7509,0,0.000313541,9.71937e-05,0.000406285,0.000163197
0.00174291,0.052266,0.0811947,0.155042,0.211692,0.290955,0.469828,13.6953,0,0.000327978,0.000144456,0.000358592,0.000172682
0.00199875,0.0599306,0.0861568,0.159298,0.215873,0.295133,0.487752,15.7056,0,0.00034257,0.00020726,0.00033859,0.000202472
0.0022624,0.0678257,0.0915704,0.163832,0.220283,0.299496,0.503519,17.7773,0,0.000357003,0.000288391,0.000330459,0.0002471
0.00253335,0.0759354,0.0974247,0.168639,0.224917,0.304038,0.517532,19.9063,0,0.000371111,0.000390747,0.000327315,0.000303963
0.00281116,0.0842459,0.103703,0.173717,0.229771,0.308753,0.5301,22.0893,0,0.000384775,0.000517229,0.000326251,0.000371855
0.00309546,0.0927452,0.110385,0.179063,0.234841,0.313635,0.54147,24.3233,0,0.000397901,0.000670657,0.000326033,0.000450269
0.00338593,0.101423,0.117447,0.184672,0.24012,0.318678,0.55184,26.6057,0,0.000410416,0.000853695,0.000326128,0.00053905
0.00368226,0.110268,0.124863,0.190539,0.245605,0.323875,0.561369,28.9342,0,0.000422263,0.0010688,0.000326301,0.000638213
0.00398421,0.119273,0.132607,0.196658,0.251291,0.329222,0.570189,31.3068,0,0.000433403,0.00131816,0.000326449,0.000747851
