Airfoil surface
100.000000 0.000000
95.023000 0.008810
90.049000 0.017390
85.070000 0.026180
80.084000 0.034920
75.089000 0.043440
70.087000 0.051530
65.076000 0.058990
60.057000 0.065620
55.031000 0.071250
50.000000 0.075670
44.964000 0.078940
39.924000 0.080620
34.882000 0.080590
29.840000 0.078720
24.800000 0.074990
19.765000 0.069290
14.735000 0.061380
9.718000 0.050630
7.218000 0.043790
4.727000 0.035440
2.257000 0.024600
1.041000 0.017190
0.567000 0.013200
0.336000 0.010710
0.000000 0.000000
0.664000 -0.008710
0.933000 -0.010400
1.459000 -0.012910
2.743000 -0.017160
5.273000 -0.022800
7.782000 -0.026850
10.282000 -0.029950
15.265000 -0.034460
20.235000 -0.037450
25.200000 -0.039190
30.160000 -0.039840
35.111800 -0.039390
40.076000 -0.037780
45.035000 -0.035140
50.000000 -0.031640
54.969000 -0.027450
59.943000 -0.022780
64.924000 -0.017990
69.913000 -0.012650
74.911000 -0.007640
79.916000 -0.003080
84.930000 0.000740
89.951000 0.003290
94.977000 0.003300
100.000000 0.000000
